fault_type,brand,age,problem
Screen,Apple,2,Screen broken
Screen,Apple,4,needs new screen
Screen,Apple,3,Screen broken
Screen,Apple,2,screen separating from casing
Software issue,Samsung,unknown_age,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again."
Software issue,Samsung,unknown_age,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again."
Screen,Apple,6,Broken screen
Screen,Apple,3,Screen not working properly
Microphone,Apple,4,Microphone not working
Screen,Apple,2,broken screen
Screen,Apple,2,broken screen
Screen,Samsung,3,Broken screen
Other,Samsung,1,Back glass broken. Had an offer to change for 370€
Unknown,Apple,4,does not open
Power/battery,Samsung,7,"overheats /malfunctions, battery bulging, needs new battery"
Unknown,Apple,7,"3 Phones, cannabilised parts into 1"
Speaker/amplifier,Apple,unknown_age,Audio volume poor; New speaker needed
Screen,Apple,unknown_age,Screen Broken; Replacement installed
Screen,Apple,4,Broken screen. Swapped button and camera
Camera,Apple,2,Broken camera lens
Screen,Apple,3,Cracked digitiser; LCD ok
Screen,Apple,2,Digitiser unresponsive; ghost touch
Screen,Apple,unknown_age,Cracked screen assembly
Software issue,Apple,2,iTunes won't detect
Camera,Apple,unknown_age,Cracked back cover and camera lens
Power/battery,Apple,unknown_age,check battery
Screen,Apple,unknown_age,Screen cracked
Screen,Samsung,3,screen not working right. Fixed screen (loose connector) but broke power button
Power/battery,Apple,unknown_age,Battery old
Power/battery,Apple,unknown_age,Akku defekt
Screen,Apple,unknown_age,Display replacement
Power/battery,Apple,7,Dead battery. Needs replacement and specialized screwdrivers.
Screen,Samsung,4,Cracked screen. Could be replace with a spare.
Help/configuration,Samsung,8,data via SIM ~ advice on data transfer
Screen,Apple,4,Cracked screen assembly
Screen,Apple,unknown_age,Cracked screen assembly
Screen,Apple,3,"Gassing battery, cracked screen, broken camera lens"
Screen,Apple,2,Ghost touch on digitiser
Screen,Apple,unknown_age,"Cracked screen, end-of-life battery"
Unknown,Apple,2,Nothing is wrong during diagnosis
Screen,Apple,3,Strips on display - previous repair shop opened it and lost some screws and a bracket in between
Other,Apple,unknown_age,Water damage
Screen,Samsung,2,Damaged LCD
Power/battery,Samsung,4,Likely short circuit in charging port or IO board - needs new battery and charging port
Screen,Apple,3,Broken screen
Screen,Apple,2,Broken screen
Screen,Apple,4,Broken screen
Screen,Apple,4,Broken screen
Other,Samsung,9,Loose wire from former repair
Other,Samsung,9,Loose wire from former repair
Screen,Apple,5,Broken screen and button
Screen,Apple,2,Replaced broken screen.
Screen,Apple,4,Screen Replacement
Screen,Apple,unknown_age,Screen Broken
Power/battery,Apple,unknown_age,Battery Fails @ 40%
Power/battery,Apple,unknown_age,Battery Needs Replacing
Screen,Samsung,unknown_age,Broken screen ~ Broken screen
Liquid damage,Samsung,3,moisture problem ~ dropped phone into water
Screen,Apple,3,Screen cracked.  Replacement screen fitted.
Screen,Samsung,unknown_age,"A visitor wanted to replace the cracked display glass on her Samsung “Galaxy J5” smartphone with us, but in the end this turned out to be too time-consuming and impractical. She ultimately decided to replace the entire display unit and now wants to order the necessary spare part by the next date."
Screen,Apple,3,Cracked screen assembly + camera lens; needs new battery
Screen,Apple,3,Cracked screen assembly
Screen,Samsung,2,"No display on the screen, light at the bottom - need to research more on the issue"
Screen,Samsung,unknown_age,Screen blacked out after physical impact
Other,Apple,1,Cracjed rear case glass
Screen,Apple,7,Cracked screen assembly
Unknown,Samsung,unknown_age,no longer works
Screen,Apple,unknown_age,display assembly replacement
USB/charging port,Apple,unknown_age,needed new charging port and screen
Help/configuration,Samsung,unknown_age,remove photos
Help/configuration,Samsung,unknown_age,please set up properly and install apps
Screen,Samsung,unknown_age,Screen broken; Replacement needed
Screen,Samsung,unknown_age,Screen Locked
Screen,Apple,unknown_age,Screen Broken; Replacement Needed
USB/charging port,Samsung,unknown_age,Charging Port not working; Replacement Unit needed
Power/battery,Samsung,unknown_age,phone gets hot
Power/battery,Apple,unknown_age,Battery needs replacing ~ Battery needs replacing
Power/battery,Apple,unknown_age,Battery needs replacing ~ Battery issue
Screen,Apple,4,Snapped display assembly flex
Screen,Apple,3,Cracked digitiser; LCD flex cable shows sign of torn damage
Screen,Apple,4,Cracked digitiser
Headphone jack,Samsung,1,Headphone jack clogged by dust; cleaned thoroughly
USB/charging port,Samsung,1,Charger port not detected; faulty USB cable
Camera,Apple,unknown_age,Camera OIS failure
Microphone,Samsung,unknown_age,"The smartphone's microphone just hissed. Fortunately, it is located on the cable for the headphone jack and can be replaced individually."
Power/battery,Apple,unknown_age,Glue the battery in place
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,"No display even if device is detected (on wifi, bluetooth)"
Camera,Apple,unknown_age,Photo camera problem
Power/battery,Apple,unknown_age,Battery won't charge
Headphone jack,Apple,unknown_age,Jack port not working
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Broken screen
Power/battery,Apple,unknown_age,Swolen battery
Unknown,Apple,2,n.a.
Power/battery,Apple,2,Akkuwechsel
Screen,Apple,4,Screen assembly replacement
Screen,Apple,3,Screen assembly replacement
Screen,Apple,2,Cracked digitiser; screen assembly replacement requested
Other,Apple,2,Extreme water damage after being put in a washing machine - data can be recovered
Power/battery,Apple,4,Battery replacement
Sim card slot,Apple,3,Bad contact with sim card
USB/charging port,Apple,5,Charging socket and battery replaced
Screen,Samsung,unknown_age,no screen ~ no screen
Power/battery,Apple,unknown_age,"Needed a new battery. But after replacing the battery, the phone stopped working (even using the old battery). It looks like a mistake was made during the repair (possible short circuit). The phone was repaired after the event by replacing the display and vibration motor."
Power/battery,Samsung,2,Doesn't turn on. Could be a battery issue.  Recommended to try a new battery and then if no joy take it to professional repairer.
Power/battery,Apple,4,Replace battery ~ Battery worn out
Power/battery,Apple,unknown_age,Needs new battery ~ Battery needs replacing
Power/battery,Apple,unknown_age,The battery had already been changed before without calibrating it. Note on how to do this
Unknown,Apple,7,"Dead. Checked battery, that seemed OK (at least not working when powered by power cube)."
Screen,Samsung,unknown_age,Display split
Software issue,Samsung,unknown_age,The smartphone did not work properly. When unlocked it sometimes reboots. We recommended backing up your data and resetting the device to factory settings.
Headphone jack,Samsung,unknown_age,Replace jack plug
Charger,Samsung,unknown_age,"Doesn't charge well - dodgy cable, so advised to replace"
Screen,Samsung,2,screen broken ~ screen broken
Power/battery,Apple,3,phone broken ~ phone won't turn on
Power/battery,Samsung,4,not starting /responding
Screen,Samsung,unknown_age,Broken screen
Storage problem,Samsung,1,Unable to get pictures from sim to memory card
Other,Apple,6,bended motherboard
Power/battery,Apple,unknown_age,broken screen and recharge circuit not working
Camera,Samsung,4,broken camera lens
Unknown,Apple,7,wires loose
Screen,Apple,unknown_age,Display glass broken. A new display is required. Shop recommended for repairs
Screen,Samsung,unknown_age,Display torn and therefore no operation possible.
Microphone,Samsung,4,The Galaxy J3 smartphone had problems with the microphone. We recommended that the guest get a new microphone so we can help him repair it.
Screen,Apple,unknown_age,Broken Screen
Speaker/amplifier,Apple,unknown_age,Audio Problem
Screen,Samsung,unknown_age,Broken screen.
Microphone,Samsung,unknown_age,difficulty with new technology ~ WhatsApp not working
Camera,Samsung,unknown_age,Camera connector loose
USB/charging port,Apple,unknown_age,Reinforced with shrink tubing to prevent cable breakage
Screen,Samsung,unknown_age,Broken Screen
Power/battery,Apple,unknown_age,Battery Needed Replacing
Screen,Apple,unknown_age,Cracked Screen; Needed Replacement
Screen,Samsung,unknown_age,Screen Needs Replacing
Screen,Apple,unknown_age,Screen Broken; To be replaced
USB/charging port,Apple,unknown_age,Charging Port Faulty; Replaced
USB/charging port,Apple,unknown_age,Charging Port Also Faulty; Replaced
Screen,Samsung,unknown_age,Faulty Screen; Needs Replacing
Power/battery,Apple,unknown_age,Broken - fitted with new power cable and off switch realigned
Unknown,Samsung,unknown_age,not working
Power/battery,Samsung,4,Won't charge ~ Keeps cutting out
Screen,Samsung,unknown_age,screen cracked and back light not working
Screen,Samsung,unknown_age,Display replacement
Storage problem,Apple,4,"iMessages could not get send and a generally bad reception. Turned out her mobile data was turned off and the storage on the phone was reaching an end. It works for now, more questions are fixed in the future."
Screen,Apple,unknown_age,"Cracked screen from being dropped twice. Replacement module already purchased. Supplied tools inadequate to complete repair. The owner will return to complete repair when tools available. Update: This has now been fixed successfully after several more visits and ordering spare parts. A 3rd party screen £17.70 and a spare set of screws £2 to replace a lost screw. A good value repair as the secondhand resell value on this phone is currently £350. The instructions on iFixt were incomplete about the replacement of the two rubber buffer/grommets that are attached to the two pentalobe screws. And also there was some difficulty replacing the adhesive tape for gluing down the screen. In the future, it may be necessary to apply the adhesive before attaching the cables for the new screen as the cables get in the way. Because of issues with the adhesive this repair may not be as waterproof as the original phone. if the battery needs to be replaced due to having low capacity it is advised that it be done at the same time but the old battery was considered sufficient capacity and not replaced on this occasion. ooo-xxx"
Microphone,Apple,3,Microphone not working
Screen,Apple,5,Screen & Battery Replacements
Screen,Apple,unknown_age,Screen Replacement
Unknown,Apple,unknown_age,Not Working
Power/battery,Apple,unknown_age,"Not starting properly.  Battery faulty, replacement needed.  User referred to local business."
Screen,Samsung,unknown_age,Screen broken.  User advised on getting replacement
Speaker/amplifier,Apple,unknown_age,Speakers don't work.  Found to be full of crud.  Cleaned.  Works.
Volume buttons,Samsung,unknown_age,Loud quiet buttons defective
Screen,Apple,unknown_age,screen cracked
Screen,Samsung,1,"Screen broken ~ Stains on screen, now no image"
Camera,Apple,3,rear camera shaking profusely - repaired before (screen replacement). Outside of apple's repair program
Screen,Samsung,2,Cracked screen. Ordered new screen
Screen,Apple,4,Screen cracked. Ordered new screen.
Screen,Apple,4,Screen cracked. Ordered new screen.
Charger,Samsung,unknown_age,"Device does not start. Loaded for 20 minutes for testing, device is ok. The charging cable is probably defective."
Screen,Samsung,2,Broken screen. Replacement screen was probably broken.
Storage problem,Samsung,7,"eMMC memory defective, device very slow. Owner had supplied a replacement mainboard. After the exchange everything worked except the camera. He does a FW update at home and comes back if the camera doesn't work."
Screen,Apple,unknown_age,Broken Screen; Antenna Connection broken
Power/battery,Samsung,5,doesn't charge
Unknown,Samsung,5,"not working, unknown"
Unknown,Samsung,7,"not working, unknown"
Unknown,Samsung,5,"not working, unknown"
Unknown,Samsung,7,"not working, unknown"
USB/charging port,Samsung,5,Not charging
USB/charging port,Samsung,5,not charging
Power/battery,Apple,5,Battery change
USB/charging port,Apple,5,Foreign object in charging port
Unknown,Apple,4,Won't turn on
Other,Samsung,4,Doesn't remember security code
Other,Apple,5,Needs help with backup
Other,Apple,5,iPhone 6 presents with reported water damage. Owner says they opened it up themselves to try to dry it up and did not turn it on thereafter.Found water damage on motherboard - requires microsoldering. Referred to professional
Screen,Apple,5,iPhone 6 with cracked digitiser. Replaced. Touch ID non functional. Replaced digitiser
Camera,Apple,3,"iPhone 6s Plus with unstable, shaky camera. Came for camera replacement. Camera replaced. Back to normal functionality. Might have cracked the screen while opening up the device"
Screen,Samsung,2,Cracked digitiser. Replaced screen.
Other,Apple,8,"iPhone 4S (black) with damaged (possible water damage) front-facing camera and home button. The led light is also permanently lit dimly draining the battery even when the phone is switched off. A spare iPhone4S (white) with an iCloud locked logic board was used for spare parts. The logic board from both phones were removed and swapped over, thus two non-working phones were converted into one working phone. The current secondhand retail price on a working iPhone4S is about £30 making the price on replacement parts prohibitively high, salvaging from another iPhone is the best option. IFixit was used as a take apart guide. The Battery removal tab was accidentally allowed to get trapped under the logic board on the fixed phone. The effort of removing the logic board again on discovery was considered not worth it. ooo-xxx"
Screen,Samsung,unknown_age,Display defective
Power/battery,Samsung,unknown_age,Akku defekt
USB/charging port,Samsung,unknown_age,charging socket
Screen,Apple,4,New screen needed
Screen,Samsung,2,The screen was partly dead. After ordering a new screen it was fixed.
Screen,Apple,2,"Cracked digitizer few days ago, used for a few months only. Ordered new screen assembly"
Screen,Apple,3,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly"
Power/battery,Samsung,4,"Second hand phone, user requests new battery. Battery ordered"
Unknown,Apple,unknown_age,to
Power/battery,Apple,5,"The owner of an “iPhone 5s” smartphone had already replaced the battery at home, but unfortunately the device no longer started. He checked all the plug connections and that didn't make any difference. We suspected that the battery was not sufficiently charged and recommended charging it for some time."
Other,Apple,unknown_age,Broken screw
Sim card slot,Samsung,1,Contact on sim card was dirty
Screen,Apple,1,New screen
Screen,Apple,5,Broken screen
Screen,Samsung,3,Broken screen
Screen,Apple,2,Broken screen
Other buttons,Samsung,4,Button has slow reaction
Screen,Apple,2,Broken screen
Power/battery,Apple,5,The battery of an “Apple iPhone 4” was once again deeply discharged. So much so that it was no longer possible to shop. The only thing that helps is a new battery. The guest comes back with the new one.
Liquid damage,Apple,unknown_age,Water damage
Liquid damage,Apple,4,Water damage
Camera,Apple,2,Camera exhibit is classic shaking issue. Order camera replacement
Other buttons,Apple,5,Unresponsive home button. Order new home button and screen
Screen,Samsung,1,Cracked screen after dropping it. Customer prefer not to repair
Screen,Samsung,1,"Cracked Screen., Customer prefers not to repair"
Power/battery,Samsung,4,Battery replacement
Camera,Apple,2,"Device is second hand from a family member. Phone was dropped in water, caused smudges to appear on camera. Replaced rear camera and rear camera glass. Function back to normal"
Software update,Apple,2,Phone is stuck in the software reinstall phase. Could not fix it. Maybe proceed with motherboard replacement.
Power/battery,Samsung,unknown_age,does not start
USB/charging port,Samsung,unknown_age,bad contact at charging socket
Sim card slot,Samsung,3,Sim-card holder won't open
Camera,Apple,4,"Camera doesn't work, wants to change battery"
Screen,Apple,5,"""Frozen"" screen after fall"
Screen,Apple,2,Change screen
Camera,Apple,2,Camera not working. Advice given.
Help/configuration,Samsung,2,not yet set up properly ~ ringtone with train sounds does not work
On/Off button,Apple,4,home button defect
Camera,Apple,2,Camera exhibit is classic shaking issue. Camera ordered was defective. Reordered camera
Power/battery,Apple,2,Fast battery drain. Ordered new battery
Screen,Apple,4,Digitiser fully broken and falling apart. Requested new screen assembly
Power/battery,Apple,2,Low battery health. Ordered new battery
Power/battery,Apple,7,Battery bad ~ battery bad
Screen,Apple,4,"Screen broken ~ Screen broken, streaks on LCD."
Other buttons,Apple,3,button stuck
Software issue,Samsung,2,Software and/or Android ~ Device keeps restarting
Internal damage,Samsung,unknown_age,Doesn't work anymore (fallen)
Power/battery,Apple,4,dead battery
Other,Samsung,unknown_age,4G signal problems.  Possible on-board fault to Tx/Rx radio or antenna. Not replacable.  Advise to put into re-flow
Screen,Samsung,unknown_age,broken window√©
Software update,Apple,unknown_age,Software defect. The firmware and software were updated via developer mode.
Screen,Apple,unknown_age,Transfer a screen from a broken device to a replacement one.
Screen,Apple,3,Screen damaged
Screen,Samsung,unknown_age,Display replacement
Screen,Apple,3,screen defect ~ does not turn on and freezes
Screen,Apple,unknown_age,Display cracked
Software issue,Samsung,4,password setting ~ no longer works properly
USB/charging port,Samsung,4,no contact charger
Unknown,Samsung,unknown_age,Not found. ~ No function
Power/battery,Samsung,unknown_age,No power
Screen,Samsung,unknown_age,Display
Unknown,Apple,unknown_age,Been through the washing machine.  Provided advise for repair
Software issue,Apple,5,"1. All screws were included loose, too great a risk to replace. 2. update via iTunes failed (error 78) ~ put screen on and suspected software problem"
Software issue,Samsung,unknown_age,suggested install malware ~ hijacked by an app with adds
Stuck booting,Samsung,unknown_age,Suggested factory reset ~ screen black
Power/battery,Apple,unknown_age,"Following instructions on the Internet, the guest independently replaced the old battery and the worn charging socket, for which he had previously purchased suitable replacement parts. Disassembly, replacement and assembly went smoothly. The only drawback: the Touch ID function no longer worked afterwards and now has to be reactivated again."
Help/configuration,Samsung,unknown_age,Transfer data ~ Transfer data
Screen,Apple,5,want to make 1 working phone from 3 ~ screen cracked
Camera,Apple,3,Broken back camera and flashlight
Other,Apple,4,Cannot transfer files to new phone.  Files partly corrupted but moved to new phone and cloud
Unknown,Apple,unknown_age,"Difficult diagnosis: charging cable missing, battery almost empty ~ ask if it can be repaired"
Screen,Apple,8,Screen broken
Screen,Samsung,2,Screen not working.
Screen,Samsung,unknown_age,broken cable ~ Touchpad doesn't work
Unknown,Samsung,unknown_age,Flickered and died over a 2 month period
Help/configuration,Apple,unknown_age,"I phone, A Nokias, A samsung and a Motorola all need re setting"
Power/battery,Samsung,unknown_age,Charging issue
Help/configuration,Apple,unknown_age,WhatsApp is not installed ~ WhatsApp does not work
Screen,Apple,5,"The visitor brought the iPhone with a broken display and had also gotten the right replacement display. With good instructions online and a lot of patience, one of our “specialists” was able to give the device with a new display back to its owner at the end of the day."
Microphone,Apple,unknown_age,Microphone not working
Storage problem,Apple,unknown_age,Not enough space
Liquid damage,Apple,4,Water Damage
Unknown,Samsung,unknown_age,he doesn't answer anymore
Help/configuration,Samsung,20,Please set up internet
Software update,Samsung,6,Locked admin restricted downloading apps. Reset.
Screen,Samsung,unknown_age,"Dark screen, lcd  trouble"
Software update,Apple,2,scan disk key not recognized
