state,year_label,ewaste_proxy_tonnes,hazardous_recycling_tonnes,hazardous_disposal_tonnes,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
ACT,2006-2007,62582.60069803492,33335.99827038589,22909.59851028486,1775291.6734682675,800357.3900002956,57.75000071525574,49.24549834057688,0.7,0.0,5.25690005836077,0.3,0.0,5.564000038430095,0.2,0.0,9.022999910637736,30.7,0.0,9.762500008568168,6.8,0.0,2.271900048479438,44.4,0.0,0.3100000023841858,23.9,0.0,71306.62287902832,0.0,0.0,312611.2920074463,0.0,0.0,0.0,0.0,0.0
ACT,2007-2008,61525.5049308527,33903.85334679726,21176.122253913578,442253.8902272703,774425.35,61.0,18.994191188600002,0.6,0.0,4.99460689629,0.3,0.0,2.2434953971000002,0.2,0.0,0.8018777743,34.6,0.0,0.64814750135,6.8,0.0,6.7463998028,22.0,0.0,4.2659933445,31.5,0.0,95122.19594089,0.0,0.0,11470.008818,0.0,0.0,3562.269568,0.0,0.0
ACT,2008-2009,174585.40583029413,34746.01756463758,133264.1715354309,366057.03928980074,877918.11,261.34000000000003,22.5963250276,0.3,0.0,3.15112454209,0.1,0.0,3.6922693391,0.1,0.0,0.9349203943,25.0,0.0,0.54024299435,2.8,0.0,13.0741078248,19.4,0.0,5.5391494645,14.0,0.0,76583.815043,0.0,0.0,15778.616919999999,0.0,0.0,5113.28392,0.0,0.0
ACT,2009-2010,64844.522107323064,35252.9780914578,22889.767365095777,355105.4329293089,628213.37,68.96,6.468603788495,0.2,0.0,3.6907313372955,0.1,0.0,1.9371896490450002,0.1,0.0,8.790605464985,14.0,0.0,6.6374305195825,2.4,0.0,6.85883569506,21.0,0.0,6.710704708275,31.0,0.0,45590.696770625465,0.0,0.0,7901.668954,0.0,0.0,5391.147244,0.0,0.0
ACT,2010-2011,71821.58220735259,35948.16743857149,29041.033074230512,594141.0681396296,724672.22,37.06,11.635123219574,0.3,0.0,6.215085983316101,0.1,0.0,4.042799360239,0.1,0.0,1.2293063421869999,10.6,0.0,2.5445722938714996,2.7,0.0,9.033172614251999,13.0,0.0,6.4191384585049995,29.0,0.0,25236.32170965488,0.0,0.0,23550.42990304,0.0,0.0,11731.03826444,0.0,0.0
ACT,2011-2012,94850.81549912284,36665.53911063785,51222.439469532444,1138532.7677659094,629267.24,242.09858961796448,32.093322555849,1.6,0.0152684552971698,7.411064787587294,0.2,0.000145413859973046,2.2805342617795,0.06,0.00339299006603774,7.5168265916175,34.0,0.0412005936590297,3.84164075010575,3.1,0.01454138599730458,9.961636903181999,18.7,0.0130872473975741,9.0335796198005,65.5,0.164802374636119,46377.325602100034,0.0,0.0,28174.43034711417,0.0,0.0,6209.26156797846,0.0,0.0
ACT,2012-2013,103495.73210353093,37482.49053037078,58897.04579221683,322907.3445380255,570118.5,248.6788342548813,53.483940653678005,1.3,0.016317256,3.9093054390367,0.1,0.000155402,6.816634073433,0.2,0.003626057,2.332883916389,16.0,0.044030691,3.2194008546605,2.6,0.015540244000000002,33.736378047444,7.9,0.01398622,8.922222103735,26.4,0.176122765,24322.56328131129,0.0,0.0,30502.91928406,0.0,0.0,7329.75845384,0.0,0.0
ACT,2013-2014,109047.90114752272,40852.648693646595,61548.25530246995,370537.55934085423,583317.76,245.7640380773628,45.224480630545,3.8,0.01560487,5.2267382086405005,0.2,0.000148618,4.560511261595,0.3,0.003467749,2.746840421135,12.6,0.042108379,4.2716252422575,3.1,0.014861781,24.80152364646,9.4,0.013375603,9.055711714525,106.0,0.168433517,19360.68021606285,0.0,0.0,38144.68726514063,0.0,0.0,9121.64033222656,0.0,0.0
ACT,2014-2015,116497.23211145187,46750.27367304009,62538.24665574673,575508.5568632637,860781.795,1028.823499975232,33.72550505872383,7.2,0.02201684,4.011831123672168,0.02,0.000209684,4.137391427425196,0.3,0.004892631,3.168003258022852,6.6,0.059410522,2.724399617188379,3.3,0.02096842,26.59680784117578,16.5,0.018871578,9.375159262282613,280.0,0.237642087,30591.53662365292,0.0,0.0,59931.700610861815,0.0,0.0,8918.20776787302,0.0,0.0
ACT,2015-2016,478472.45216703805,40204.340234966476,430963.16440320725,340096.27526674175,761678.335,949.014854809617,22.12330128830278,1.0,0.024671872,3.230657747628239,0.02,0.00023497,2.2319916006508356,0.1,0.005482638,2.1285284224281784,6.8,0.066574892,2.9423480562782762,3.4,0.02349702,5.871910230375289,13.5,0.021147319,8.682056154605913,60.8,0.266299568,18768.069874624816,0.0,0.0,38808.062919559015,0.0,0.0,6573.787476598754,0.0,0.0
ACT,2016-2017,1323966.2633725754,46162.54835766487,1270910.91356083,454792.60728427663,841606.0,1007.5244490324039,12.732432970143554,4.0,0.028232674,2.3820067174194253,0.3,0.000268883,1.8975640989135736,0.2,0.006273927,2.0638812307006833,6.7,0.076183405,2.505480865423584,3.4,0.026888259999999997,2.794944815966797,6.7,0.024199434,8.577637538879397,23.5,0.30473362,34119.01142234729,0.0,0.0,84361.73136202028,0.0,0.0,7065.1103235713135,0.0,0.0
ACT,2017-2018,654030.3672717273,44234.82080149221,586887.683245554,570834.5398367963,1034949.9,1275.5651335201449,22.89071581712839,307.4,0.031922304,3.6719578985495414,153.7,0.000304022,2.3976250741930962,0.0,0.007093845,26.23353706188841,12.3,0.08613955,34.48522748715696,0.3,0.030402194,27.06478638869705,9.2,0.027361975,36.96954840065794,18.4,0.344558198,62787.664141305926,0.0,0.0,99558.34033045376,0.0,0.0,7228.752337012785,0.0,0.0
ACT,2018-2019,362626.848,42901.37384691344,302556.50463275233,638018.5982352203,784379.3,447.56716492029,3.970812934202059,0.9,0.031163352,1.5761899204753715,0.2,0.000296794,0.7917015705061329,0.0,0.006925189,66.26501653186942,12.1,0.084091586,87.38144114196268,0.3,0.029679383000000004,40.78027254164213,9.1,0.026711445,77.30270382260574,18.1,0.336366344,41511.353359442335,0.0,0.0,158248.04690566423,0.0,0.0,6590.070042831093,0.0,0.0
ACT,2019-2020,288080.6238,71715.17772890064,198341.70180246982,584901.2872008971,867515.72,584.314774310174,10.086870760096875,288.6,0.041574862,5.388433418941406,1.4,0.000395951,1.4622099412109375,0.0,0.009238858,2.424651946679688,11.5,0.112186135,3.0386406604492198,0.28,0.039595106000000005,6.41046818984375,8.7,0.035635596,9.520816407226565,17.3,0.448744539,37830.422724350894,0.0,0.0,162770.25486463966,0.0,0.0,5571.670255659781,0.0,0.0
ACT,2020-2021,201059.8099841039,48855.53233710492,134503.86601087768,1179043.4875542948,1027569.4035626145,639.5154484571591,5.815891979625,372.2,0.8457063,4.728297306,2.0,0.000635298,1.7076414,1.1914,0.010256999999999999,63.5175536,212.9,0.13153399999999998,86.9980384,36.3657,0.0475298,42.668588,357.2347,0.0565768,97.732744,204.8,0.493338,27654.58544892981,0.0,0.0,243489.167352,0.0,0.0,6012.376545,0.0,0.0
NSW,2006-2007,6733478.844686969,2183920.3458252577,4191716.0273254896,1251623471.5958555,35501176.971878,384366.7492,15361.4788947,637.2575,31.9721,1362.0465938,61.679190000000006,0.2424,676.3534452,6.31014,6.2143,7649.1403078,494.7594,7.809200000000001,10117.471237599999,1938.4118,8706.8974,50589.958605894,29222.9248,94.75880000000001,75173.6642902,50256.614400000006,52.646699999999996,12313304.75141,175827.7,462.5,82755175.9524,0.0,0.0,0.0,0.0,0.0
NSW,2007-2008,6702783.59221677,2171997.820388506,4189220.769887914,1278062848.0356627,40693618.457566,305964.16535749997,12420.035697480636,784.47557,318.11014,1271.960637682551,103.746697,18.468719,706.267915544446,8.19727,2.3171995,7919.430246846918,381.72191,640.04904,11029.371684919051,491.93656999999996,14171.708455,41953.78914189533,25435.9134,17062.46072,94087.46463010457,44601.5532,44.059208999999996,11638640.121378684,0.0,0.0,94158675.04026356,0.0,0.0,5021369.37781666,0.0,0.0
NSW,2008-2009,7091281.016168518,2363346.706430415,4333901.550649122,1028485505.9257222,38015673.29702659,318902.7647657861,11330.821656471639,315.87814653,79.24680239599999,628.672666808911,94.188006229,5.212420860000001,385.226106439247,9.5572300518,2.8059895289,7785.783226664927,83905.7100736,99.434445596,11024.024060703947,256.05630225,25961.36445996,38911.1808304823,23944.61298884,6588.857236336,41766.1535893312,400497.1743327,182.973236336,11936965.45522708,0.0,0.0,85605588.24300748,0.0,0.0,6662165.425338776,0.0,0.0
NSW,2009-2010,7713204.016940698,2794044.554174231,4455755.55030819,891570897.9600347,39527750.28199863,224237.150856686,10172.036723582321,33.0722082465,142.246748834,647.6479913534124,25.398830828999998,0.5192952421,1074.573204993232,3.0205300518000002,3.8477557085,7191.0193216944,44085.2206194936,62.766524034,9170.26013491696,182.05311625000002,32354.5804181402,40232.1794940033,25012.86202284,5668.289147728299,44574.629612384204,303220.3145617,1983.9356133283002,12605899.605593147,0.0,0.0,85864799.9760153,0.0,0.0,5333926.06479328,0.0,0.0
NSW,2010-2011,6758265.144043486,2255394.3483134294,4128429.7532516643,851667135.1003118,38252337.49984787,669561.5516128929,25362.844906950093,145.949007188,207.2248375031424,744.8033204736721,35.7374623276,2.69303781665088,793.522808018659,34.7843225386,8.5621757939872,7701.960922134247,1624.480702885,184.924025285416,10500.300454567123,747.076931245,38033.76141365109,88681.21903471781,24904.915533581,5418.385009452379,82251.937323124,482313.09548235,118.57955767846398,11163515.411903538,0.0,0.0,107674947.9594433,0.0,0.0,5401738.9250130225,0.0,0.0
NSW,2011-2012,7674583.791150315,2674925.803058177,4555741.939823765,825940708.2753527,40632884.45251254,1005281.6828915891,43388.83274263799,210.77363063925,207.03575532476634,564.3511825472096,24.7487415845875,2.6797295523931024,704.6737425449877,4.174794965,9.466854477059186,9402.719419467448,61722.815354305996,189.0041218837187,12655.671929248096,338.174860674,28742.13702085725,75858.22395293675,28419.242080415,5720.729221934228,140684.23408327164,418307.97431752895,97.35573106951625,10121258.57213845,0.0,0.0,134208489.42049444,0.0,0.0,5708933.468738414,0.0,0.0
NSW,2012-2013,10172089.695186773,2903800.969906724,6859292.415789321,786603233.3431771,36261301.95898162,971964.8743971663,39540.57006701831,474.636690732,213.3567071917763,493.2825608110047,23.55579715516,3.3068396103573936,772.7382779791938,10.692252081,5.4638178535058435,9601.300348091112,1078.552666402,140.85790533042808,13686.940981078105,1701.2081648859998,23398.98659559474,65846.19230921847,24069.753359764,3349.5112328076652,131599.3742162081,35708.608365428,34.42439452271236,9273878.470356762,0.0,0.0,140693211.21768433,0.0,0.0,5417593.410716791,0.0,0.0
NSW,2013-2014,10120848.358682036,2261552.6978005557,7609908.487746313,800920507.3903183,37941893.05715433,964598.2620622464,43101.52732734405,111.787333992,130.6653699909906,660.2313194679306,40.930831787289996,1.1173765900951484,975.3544634407152,4.0289205984,6.705600108886797,10237.691434906834,587.160401867,100.50189387862537,15724.661674515568,328.99525633200005,15359.757755038516,49733.51823348271,28803.624775358,3572.0094194425633,148132.6957662625,35450.268752022,109.2318166695015,11345829.860411854,0.0,0.0,140371354.40773943,0.0,0.0,5089384.938706516,0.0,0.0
NSW,2014-2015,7980099.026499503,1610798.82083013,6035261.914406832,769659511.331145,40446650.66305097,1119704.1381829013,39390.34044714076,193.392529007,73139.66812549609,674.6415846424748,28.7983573418,25.501361223257952,735.1309316440575,5.1285328970999995,4.191281338018868,8350.025904809694,1282.4358103490001,139.47667588608624,14302.194524895207,132.37972484300002,30834.983250006797,52418.919015787724,37565.630974363,17425.659610168215,131255.50554516626,41061.846391398,144266.67874844235,9709075.443428399,0.0,0.0,135062943.76914257,0.0,0.0,4805941.4322997,0.0,0.0
NSW,2015-2016,10737738.126533944,1954259.4935235889,8385611.040551904,713808380.3948607,38430286.64793516,1254308.2330576337,38690.224434103795,105.135487754,57591.1391611779,651.2288276764327,32.440493302296,8.650065153589578,612.3223989102976,3.2297079099,3.334528711756813,8061.387358682027,953.684237179,143.41871062304702,11525.130768748719,163.502812847,31098.12167890696,49968.00488632392,30872.974048886997,17889.874403604063,115403.97720144226,36469.799426775,94277.25771408918,8424985.08651714,0.0,0.0,116728784.2394104,0.0,0.0,3548184.475661011,0.0,0.0
NSW,2016-2017,10277378.932954121,2198785.9863005974,7829270.585501136,712820445.9796525,40917570.18994865,1699614.455220142,37376.29514186095,59.269607015,67965.01584861055,485.53601706974035,18.50871773084,6.684618136767115,640.0150164946358,2.57633059,3.184010744166038,7160.164507864921,1031.864082216,196.64607194801619,10846.257382586678,109.375911759,19931.66806550071,48098.38805474827,35603.807453044,14478.36219380104,102618.147961779,41341.454507098,116179.03821969107,8358851.691064303,0.0,0.0,115264822.19979154,0.0,0.0,3820513.122693499,0.0,0.0
NSW,2017-2018,15580688.370116808,2589662.6009912197,12564571.146490935,701849047.325628,39458412.94638535,1371147.116121429,43106.395857851654,19.750990083,74882.78707377306,415.61820663348715,17.154859015524,6.2219078968862265,942.911963716343,3.344486292,3.8655641433452828,7608.507967999132,683.86888014,116.73019961776414,11834.379701158125,93.05785377100001,19426.934394488624,70833.96037018254,32616.0513177288,3859.7446965197605,140962.31050312388,37606.3119724894,129518.80207747105,8077660.859382422,0.0,0.0,119361600.43444651,0.0,0.0,3847551.6039136043,0.0,0.0
NSW,2018-2019,17086826.124448545,2504193.1069223564,14044892.269879417,744874047.5760859,42301792.93445573,851821.7648940177,48279.96882088053,33.615172781,68559.4998758,613.5949948881776,37.583400632840004,6.16565851,773.0604984699468,1.081650887,4.15902351,8754.54771857807,744.037888454,116.0628079,13081.58627677122,83.15786540500001,38710.8586301,81538.6193327939,36626.848949592,3815.259825,137695.61719586005,35425.554806355,121766.74294235848,7940807.954964478,0.0,0.0,126870271.13843715,0.0,0.0,4042120.6027490813,0.0,0.0
NSW,2019-2020,14095732.632769406,2483117.105028323,11209449.710082414,698867532.5645477,42831629.920943715,722809.9233281645,40459.85067563155,123.918318728,82094.18854260436,475.79117844256996,9.494758416637499,25.419265428244074,890.290147033434,5.9671847806,80.65225618119136,7839.49321671501,1201.750500134,1808.6937454642048,14440.559048165107,127.254192219,20404.804443739136,89699.64991702796,35625.346286954,2711.3053406915515,129655.81524771062,47820.28249303,139107.7882822091,8704402.877262766,0.0,0.0,129218831.93267053,0.0,0.0,4003611.8351432746,0.0,0.0
NSW,2020-2021,12724801.291323286,2655948.2447492075,9653481.864846295,681711550.1885842,45683686.671493135,702567.2019531796,39897.78027214701,1031.17841459,74989.25988111453,494.66593602753596,22.749188399999998,13.112764468185983,738.7889064823628,7.0525414589999995,0.5072504253396226,8821.157311695993,1259.74702159,128.51422944269544,17678.846940986547,149.95327458999998,48870.825930228595,97627.19590439845,34903.03633884,20750.91882114674,118905.98997734215,38625.126351,153594.16610816077,7470295.168174881,0.0,0.0,123795260.5176417,0.0,0.0,3955589.1595984385,0.0,0.0
NT,2006-2007,183378.01975820056,93460.22650765906,78607.85675354028,62669184.18319199,1003362.4210763666,17326.8218341697,71555.73921073505,35.2484813550663,32.23961714436637,517.4205034961468,2.3205211078096184,0.4439545871161845,751.7878253081182,38.32893425491266,2.0131886370606313,5246.0574034069905,177.25030595727443,59.4818842147196,768.2571247889656,84.80399238054275,50.362592566949814,5257.894713585578,156.66423824373246,76.08865020615029,170246.03937481853,19.860000133514404,148.1934166531987,3938361.426712192,84290.39999961853,65.51999961785972,4776139.0728582125,0.0,0.0,0.0,0.0,0.0
NT,2007-2008,188234.6970510304,95935.47496143228,80689.747448163,75617437.66842994,727608.3686818,67904.57311747826,95686.74555165198,60.720839999999995,186.664207279,142.30084342279997,1.582011,0.602294438,602.4727459220001,36.564440000000005,4.706764435,6180.412250426,262.6120198,1294.136397122,901.733905857,224.36011000000002,56.38985283699999,13330.990441296,215.51402000000002,746.600365653,211672.17369799,166.484341,3112.110061887,2303472.275373234,0.0,0.0,8498235.4476047,0.0,0.0,3825028.3029947,0.0,0.0
NT,2008-2009,193368.5760000443,98552.00168622956,82890.46496897729,78626148.08855626,705653.0287497,53699.018057003996,8108.424222701199,36.0678742,9.349947008000001,541.2570655208799,1.312112,0.32294206000000003,602.4567835732,32.246152,1.374811706,7091.1199153856,266.47989,62.336465,938.5931260492,311.58936,52.787053199999995,9500.9650561576,276.2578095,60.059367800000004,233097.437855244,171.422675,89.74276599999999,1826502.296444474,0.0,0.0,9435754.39911256,0.0,0.0,2877467.90044456,0.0,0.0
NT,2009-2010,197936.75501747246,100880.2144472755,84848.6863648677,81322613.18577123,769072.43969314,27546.94546051687,10724.822654519,62.018907,7.58222118702252,281.21167406219575,0.86440652,0.7471631812954526,587.81976842,26.12420652,0.8984692625605599,7491.287199245,279.78138,116.86070896737823,1125.637043748,133.581937,109.88530586554525,7217.167954007001,254.849208,119.19871271859073,272682.152814676,184.74478299999998,60.01195386851291,2062011.9683640546,0.0,0.0,8623853.79304619,0.0,0.0,749183.33335319,0.0,0.0
NT,2010-2011,200123.08532141952,101994.49698613638,85785.8910504413,79661318.74825495,1201197.57425731,11601.373292146405,5174.17210258429,400.91420636,7.257816367999999,297.5267467341279,1.1313924,0.6038006760000001,242.419556356,10.1396141,0.961321038,7501.250440389999,1148.635999,17.555063440999998,1244.381402169,364.211017,6.325763486,4120.40808594519,484.9282478,8.477211342999999,86112.305004921,1034.990734,63.920305666,1739468.3423381026,0.0,0.0,8335556.97181416,0.0,0.0,968438.68444826,0.0,0.0
NT,2011-2012,202355.34633121415,103083.2304023618,86797.68402976496,78957706.48004964,1071501.91827453,9678.098254449773,22709.594245841003,341.5436929,19.003676969471698,289.8031274606022,0.87086073,1.2759141129711589,315.50174619,5.1344495,2.0794419462603773,14766.711832862999,581.0229081,31.289579193161725,7603.9748323929,378.216143,12.126304420115904,7876.94477408,299.7161628,60.77362495040432,126674.13383155,1046.563169,122.6350993606469,1630555.2391441735,0.0,0.0,9426608.801952211,0.0,0.0,939125.6294503517,0.0,0.0
NT,2012-2013,208118.09971152525,106040.71607580158,89245.04947710337,73522587.63688417,1202183.554870349,5676.996840251166,11394.767996019726,141.7999222,15.187626229480276,349.0434304997927,1.32489935,0.8505226274807646,471.525365616,4.9856537,1.7190454985511723,10229.799172595,576.0371991000001,20.156798253549947,4400.2447003222005,285.337551099,9.389953561076451,7513.1907843341,372.96358299999997,33.63469578026881,161795.41001059985,1209.323962,80.88437895819979,1630408.484733919,0.0,0.0,10545982.434299627,0.0,0.0,763567.5353448263,0.0,0.0
NT,2013-2014,211164.32975451258,118458.36581520623,82968.66505067777,71585006.00788623,1295410.4178050528,12786.732501292227,12447.785534483779,108.862948037,11.610131992857143,202.4887584529841,1.10480553,0.41992483726530616,520.06857545,8.09268732,1.2724521955904762,9104.137669618,1197.117155,16.824685485170065,7210.194115960001,254.03602334299995,7.722290506530612,8370.5124958,1290.661892,34.994489359877555,159081.89598057,2382.3929227,95.67517900068027,2792997.67009684,0.0,0.0,11016834.689817801,0.0,0.0,768189.5400727876,0.0,0.0
NT,2014-2015,195730.90933325523,76432.00031662692,108471.89442724346,47555812.400520004,1017018.776760726,7138.292957331865,59071.51347941034,94.400169316,10.097111764754716,17.13769631156697,0.539913,0.4039027934167116,394.2806679723,2.801761634,0.9547807250566037,4491.0004637413,1371.9627796,11.205538001401617,7042.238170550275,108.4415475,4.601008331671159,7310.30545127406,184.966555,35.04000060750405,154131.50624802228,3256.4454382,58.31606941492491,3734790.740100821,0.0,0.0,9192213.442065164,0.0,0.0,750215.4105860521,0.0,0.0
NT,2015-2016,144027.69090853192,43325.81139528341,92684.16175909282,47839890.54916274,1457044.481768761,10752.780842480572,22110.15137930943,81.34564359299999,11.472616571793745,5.714503451497676,0.474173848,0.4309978412551785,133.64213357646972,1.053728329,1.2422164066208323,1716.0038059913331,342.0843898,11.29722696896725,3564.007749162489,145.92544112,5.186095986517851,2443.5133656352536,96.61228665,41.790819272966075,43664.63670628982,315.201498,54.04995235586899,3519002.957350367,0.0,0.0,11723418.686839325,0.0,0.0,662583.2903413838,0.0,0.0
NT,2016-2017,180786.60900507568,62780.985927019974,108654.5115155857,47109383.9918085,1481285.544077463,5683.028136763637,17562.966291211396,148.4944304049047,22.16811416153163,8.648366336340223,1.3689339138856,1.4531297183003014,89.95804540200001,10.322253375923701,2.1710412136736954,1309.172441116,446.0695450449047,30.173082751752023,3434.9630801793,243.62927914143333,14.715307630030123,2728.2166325,106.9512957449047,48.49057566702711,28807.7656867,980.8451688,106.91259280700808,3152759.7289839955,0.0,0.0,11877438.916961195,0.0,0.0,685768.8078291966,0.0,0.0
NT,2017-2018,169412.2663003148,64200.96205078799,97334.53216969954,48236625.42509127,1061531.9081685273,8102.791951494263,18410.3549690618,118.766514618,42.983706160946504,24.037038131779617,1.872090639,1.4045082906756812,93.47920037000002,8.213881555,4.251226003099223,1334.690383874,279.6964223184,29.23862299477628,3523.362999925,366.579421573,14.408237927568099,1872.80528632,103.221591718,154.6121950108113,28970.64644228,2522.840223,160.84360429910512,2494390.8467136403,0.0,0.0,13885961.182922421,0.0,0.0,695763.9776483832,0.0,0.0
