state,year_label,ewaste_proxy_tonnes,hazardous_recycling_tonnes,hazardous_disposal_tonnes
ACT,2006-2007,62582.60069803492,33335.99827038589,22909.59851028486
ACT,2007-2008,61525.5049308527,33903.85334679726,21176.122253913578
ACT,2008-2009,174585.40583029413,34746.01756463758,133264.1715354309
ACT,2009-2010,64844.522107323064,35252.9780914578,22889.767365095777
ACT,2010-2011,71821.58220735259,35948.16743857149,29041.033074230512
ACT,2011-2012,94850.81549912284,36665.53911063785,51222.439469532444
ACT,2012-2013,103495.73210353093,37482.49053037078,58897.04579221683
ACT,2013-2014,109047.90114752272,40852.648693646595,61548.25530246995
ACT,2014-2015,116497.23211145187,46750.27367304009,62538.24665574673
ACT,2015-2016,478472.45216703805,40204.340234966476,430963.16440320725
ACT,2016-2017,1323966.2633725754,46162.54835766487,1270910.91356083
ACT,2017-2018,654030.3672717273,44234.82080149221,586887.683245554
ACT,2018-2019,362626.848,42901.37384691344,302556.50463275233
ACT,2019-2020,288080.6238,71715.17772890064,198341.70180246982
ACT,2020-2021,201059.8099841039,48855.53233710492,134503.86601087768
NSW,2006-2007,6733478.844686969,2183920.3458252577,4191716.0273254896
NSW,2007-2008,6702783.59221677,2171997.820388506,4189220.769887914
NSW,2008-2009,7091281.016168518,2363346.706430415,4333901.550649122
NSW,2009-2010,7713204.016940698,2794044.554174231,4455755.55030819
NSW,2010-2011,6758265.144043486,2255394.3483134294,4128429.7532516643
NSW,2011-2012,7674583.791150315,2674925.803058177,4555741.939823765
NSW,2012-2013,10172089.695186773,2903800.969906724,6859292.415789321
NSW,2013-2014,10120848.358682036,2261552.6978005557,7609908.487746313
NSW,2014-2015,7980099.026499503,1610798.82083013,6035261.914406832
NSW,2015-2016,10737738.126533944,1954259.4935235889,8385611.040551904
NSW,2016-2017,10277378.932954121,2198785.9863005974,7829270.585501136
NSW,2017-2018,15580688.370116808,2589662.6009912197,12564571.146490935
NSW,2018-2019,17086826.124448545,2504193.1069223564,14044892.269879417
NSW,2019-2020,14095732.632769406,2483117.105028323,11209449.710082414
NSW,2020-2021,12724801.291323286,2655948.2447492075,9653481.864846295
NT,2006-2007,183378.01975820056,93460.22650765906,78607.85675354028
NT,2007-2008,188234.6970510304,95935.47496143228,80689.747448163
NT,2008-2009,193368.5760000443,98552.00168622956,82890.46496897729
NT,2009-2010,197936.75501747246,100880.2144472755,84848.6863648677
NT,2010-2011,200123.08532141952,101994.49698613638,85785.8910504413
NT,2011-2012,202355.34633121415,103083.2304023618,86797.68402976496
NT,2012-2013,208118.09971152525,106040.71607580158,89245.04947710337
NT,2013-2014,211164.32975451258,118458.36581520623,82968.66505067777
NT,2014-2015,195730.90933325523,76432.00031662692,108471.89442724346
NT,2015-2016,144027.69090853192,43325.81139528341,92684.16175909282
NT,2016-2017,180786.60900507568,62780.985927019974,108654.5115155857
NT,2017-2018,169412.2663003148,64200.96205078799,97334.53216969954
NT,2018-2019,469662.86598000006,334810.77359150205,115134.19384589168
NT,2019-2020,327961.6723050743,161409.84984467246,148093.11215478805
NT,2020-2021,558633.687627478,191935.0768197487,352450.84416080965
QLD,2006-2007,8885733.328637611,2724309.2367624654,6022498.495391894
QLD,2007-2008,13915655.465403926,2775464.513966273,10988466.228822434
QLD,2008-2009,8317252.513272239,2326652.7324935803,5839281.009532256
QLD,2009-2010,8040319.569220398,2728688.2515988173,5146706.51630166
QLD,2010-2011,8343154.866616831,3321374.456210627,4833969.71533202
QLD,2011-2012,7096354.560268496,3264937.444208895,3632212.6121140593
QLD,2012-2013,9557758.430057243,4474474.974723529,4865365.035882916
QLD,2013-2014,12310615.320836581,5075006.852516013,7105693.397267155
QLD,2014-2015,10363351.351361234,4585280.733595244,5600506.11962772
QLD,2015-2016,8921535.583931718,3022411.862869002,5750171.387775887
QLD,2016-2017,12240205.721364517,3284803.4468593607,8846780.419960115
QLD,2017-2018,12350690.50596212,3929817.612259955,8205830.881088974
QLD,2018-2019,11617243.662269259,4341046.136177466,7070928.999865581
QLD,2019-2020,8768496.951191667,3964499.090200222,4566247.51086003
QLD,2020-2021,10140603.137753561,4194816.622741851,5717055.567328467
SA,2006-2007,1114361.059549894,426100.3327687578,587244.4680153633
SA,2007-2008,2101402.6977579542,881135.9660629199,1116996.292410664
SA,2008-2009,1142902.5870539453,480360.49766420905,557231.2282585904
SA,2009-2010,1394255.67895704,543349.5722472057,742417.2925695969
SA,2010-2011,2830317.9758033813,1038521.2489092579,1679444.155975033
SA,2011-2012,5199673.239188754,1717423.5891429023,3371414.2866502646
SA,2012-2013,3278225.3597085997,1317429.4350911363,1841552.222901309
SA,2013-2014,1884311.0399941793,900976.7271731765,871429.1700622935
SA,2014-2015,2849973.375637993,955825.2684564581,1781864.0873090494
SA,2015-2016,2149648.6322216606,675860.7700820966,1350429.5623114584
SA,2016-2017,2763618.622243604,1911125.094470389,727881.342886694
SA,2017-2018,3495192.755598267,2461225.024564738,920477.3217443402
SA,2018-2019,2696403.39866588,1700311.542951903,888719.2246303097
SA,2019-2020,2460695.9654332832,1531995.031764292,815186.1334438125
SA,2020-2021,2636834.284149182,1736939.64512436,777882.1654288922
TAS,2006-2007,1609985.9787871877,1231853.1974142652,361753.8037613228
TAS,2007-2008,1620515.254989014,1242618.097534424,361373.45608121855
TAS,2008-2009,1645655.0609044791,1257289.4398019474,371644.77817386657
TAS,2009-2010,1649701.463401727,1268154.8159906936,364669.61745233746
TAS,2010-2011,1661037.4399327033,1277623.358483293,366411.8219496736
TAS,2011-2012,1754696.272636535,1281737.1375220038,455902.85829546925
TAS,2012-2013,1753445.0204015533,1280617.5625172039,455762.68358445534
TAS,2013-2014,1757142.3480801159,1403875.7852363624,336182.0239178743
TAS,2014-2015,1892470.935063249,1323897.6170525982,551045.0952035197
TAS,2015-2016,2380417.9559898265,1698838.3388642776,664299.6741835821
TAS,2016-2017,1052875.7767825127,760300.1067217503,275523.78784886113
TAS,2017-2018,1528433.8857852432,1270119.6110348233,239644.9671998093
TAS,2018-2019,2658449.383546318,1980181.5360520068,656313.2113834149
TAS,2019-2020,2418381.768149254,1847036.946495852,537372.6281314371
TAS,2020-2021,1890590.831424201,1539316.0360507625,306426.60230106604
VIC,2006-2007,7601401.7809170345,2145769.142472026,5235513.377096845
VIC,2007-2008,7026526.43025288,2182231.769172388,4620408.215976154
VIC,2008-2009,5792581.434806252,2217220.449933382,3349315.7168182554
VIC,2009-2010,5759114.198485874,2470950.277570709,3051502.315654565
VIC,2010-2011,6377706.80059547,2525699.05919302,3610257.1167798475
VIC,2011-2012,6211118.505564136,2401726.964491172,3567068.1365163606
VIC,2012-2013,6709835.6006838605,2769549.4217609437,3684961.9265481965
VIC,2013-2014,5639508.0779695315,2470124.5412192736,2973793.4857739024
VIC,2014-2015,5709352.507924724,2223170.010087037,3255681.823555504
VIC,2015-2016,6064674.510910938,2383122.6528582093,3447775.178476104
VIC,2016-2017,7403646.691282203,2656404.5489331433,4546195.122805217
VIC,2017-2018,9001958.074939169,2857610.415884426,5827063.781039188
VIC,2018-2019,8577957.38011157,3155058.565093893,5061582.288908359
VIC,2019-2020,11453312.865708321,4569698.475693062,6486892.6396233905
VIC,2020-2021,11494968.760990378,4645305.543390658,6477016.024332898
WA,2006-2007,2630129.516699056,1998192.0341121953,540286.4112837702
WA,2007-2008,2612275.862857984,1896142.6800784525,620449.8115643349
WA,2008-2009,2651464.463662388,1851279.835093168,700634.3789553524
WA,2009-2010,2776430.9540979257,1994790.5470412327,675569.0475252233
WA,2010-2011,3593278.017483899,2629977.56626149,845323.003948013
WA,2011-2012,3398354.666918032,2416447.9673029548,854156.1055201822
WA,2012-2013,3719981.183215852,2500482.90027155,1078104.4000108365
WA,2013-2014,3874719.5122221177,2644662.6784407306,1084416.7581504981
WA,2014-2015,3481643.4596830606,2320442.8147999533,1001917.6402519697
WA,2015-2016,3931491.8427918996,2609324.2892529783,1155207.086456391
WA,2016-2017,3695534.159470292,2358459.3341376497,1200583.0299909357
WA,2017-2018,4721597.747801822,2569725.710223332,1987015.5022182378
WA,2018-2019,4561950.331500266,2558728.7395333736,1810150.4057591208
WA,2019-2020,4444401.7239269,2625652.3630827414,1616769.6383616556
WA,2020-2021,4583398.016355466,2707198.3672051476,1660257.839431847
