original_fault_type,brand,age,problem,fault_type
Microphone,Apple,unknown_age,Mobile - Mic problem - Tried cardboard hack and failed,Other damage
Other,Samsung,unknown_age,Mobile - Configuration problem -,Other damage
Unknown,Samsung,unknown_age,Mobile - -,Other damage
Speaker/amplifier,Apple,unknown_age,Mobile - No sound output -,Other damage
Power/battery,Samsung,unknown_age,Mobile - Gets no power -,Battery issues
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -,Other damage
On/Off button,Apple,unknown_age,Mobile - Switch problem -,Other damage
Other,Samsung,unknown_age,Mobile - Bricked -,Other damage
Power/battery,Apple,unknown_age,Mobile - No power -,Battery
Power/battery,Samsung,unknown_age,Mobile - Battery issue -,Battery issues
Power/battery,Samsung,unknown_age,Mobile - No power -,Battery issues
Software update,Samsung,unknown_age,Mobile - Bricked -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue - Not enough time,Screen damage
Sim card slot,Apple,unknown_age,Mobile - No SIM card recognition -,Other damage
Stuck booting,Samsung,unknown_age,Mobile - Won't boot - Not enough time,Other damage
Software update,Samsung,unknown_age,Mobile - Firmware issue -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue - needs a new part,Screen damage
Screen,Apple,unknown_age,Mobile - screen issue - Spare part needed,Screen damage
Screen,Samsung,unknown_age,"Smashed screen, doesn't switch on",Display issues
Software update,Samsung,unknown_age,"Switches on, but can't launch programmes",Other damage
Power/battery,Apple,unknown_age,Turn off after a few minutes,Battery
Screen,Samsung,unknown_age,Mobile - Screen issue - Referred to professional,Display issues
Other buttons,Samsung,unknown_age,Mobile - Home button - Needs more work,Other damage
On/Off button,Apple,unknown_age,Mobile - Home button/Power switch - Needs spare part - DIY ready,Battery
Camera,Samsung,unknown_age,Mobile - Lens smashed - Self-fix,Rear Camera Issues
USB/charging port,Samsung,unknown_age,Mobile - USB port - Referred to professional,Charge port issue
Stuck booting,Samsung,unknown_age,Mobile - Bootloop - Referred to professional,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Screen,Apple,unknown_age,Mobile - Screen issue - Self repair,Screen damage
Other buttons,Apple,unknown_age,"Home button is stuck. Neeeds to go to shop, button mislodged after screen repair",Screen damage
Screen,Samsung,unknown_age,Broken screen,Display issues
Power/battery,Apple,unknown_age,Mobile - Battery dead -,Battery
Screen,Apple,unknown_age,replacement screen/display is missing,Screen damage
Screen,Apple,unknown_age,replacement screen/display is missing,Screen damage
Other,Apple,unknown_age,Mobile - Water damaged -,Other damage
Performance,Samsung,unknown_age,Mobile - Running slow -,Other damage
Screen,Samsung,unknown_age,Screen broken,Display issues
Screen,Apple,unknown_age,Condensation underneath screen,Screen damage
Screen,Apple,unknown_age,Poor battery ilfe and screen cracked,Screen damage
Other buttons,Apple,unknown_age,Mobile - Broken home button -,Other damage
On/Off button,Samsung,unknown_age,Mobile - Power button? -,Battery issues
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Other,Samsung,unknown_age,"Got wet, won't switch on. Photos saved, half fixed.",Other damage
Speaker/amplifier,Samsung,unknown_age,Can't hear calls. Can't be fixed.,Other damage
Screen,Apple,unknown_age,screen broken,Screen damage
Screen,Apple,unknown_age,back and front screen,Screen damage
Screen,Apple,unknown_age,screen broken,Screen damage
Screen,Apple,unknown_age,broken screen,Screen damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Headphone jack,Apple,unknown_age,Mobile - Earphone jack -,Other damage
Microphone,Apple,unknown_age,Mobile - Mic problem -,Other damage
Power/battery,Samsung,unknown_age,"Doesn't charge, doesn't switch on. Needs new battery.",Battery issues
Screen,Apple,unknown_age,Speaker crackly and broken screen.,Screen damage
Charger,Apple,unknown_age,"Charger, loose connection.",Other damage
Unknown,Apple,unknown_age,Dropped - no sign of life. (Was actually ok),Other damage
Power/battery,Samsung,unknown_age,Keeps cutting out. Didn't need SD card.,Battery issues
Unknown,Apple,unknown_age,Locked,Other damage
Speaker/amplifier,Apple,unknown_age,Speaker not working - referred to Lovefone,Other damage
Screen,Apple,unknown_age,Spare screen purchased by the person before they came but it wasn't the right one for this phone. Advised them to come back to another party.,Screen damage
Screen,Apple,unknown_age,Person came to party with cracked screen. Restarter told them they needed to buy a screen. They went away and got one and after some time trying to fit it the Restarter said it was the wrong screen.,Screen damage
Screen,Samsung,unknown_age,Screen cracked,Display issues
Screen,Apple,unknown_age,"Failed screen replacement, not clear why. Referred to Lovefone",Screen damage
Power/battery,Apple,unknown_age,Needs new battery,Battery
Software update,Apple,unknown_age,Needs software update.,Other damage
Screen,Samsung,unknown_age,screen to find on the internet,Display issues
Other,Samsung,unknown_age,Motherboard? - Dead mobile,Other damage
Unknown,Apple,unknown_age,Needed back-up before repair,Other damage
On/Off button,Apple,unknown_age,defective power button. elegible for Apple recall,Battery
Software update,Samsung,unknown_age,shuts down. reset to factory settings,Other damage
Camera,Apple,unknown_age,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage",Rear camera damage
Power/battery,Apple,unknown_age,battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem,Battery
Camera,Samsung,unknown_age,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair",Rear Camera Issues
USB/charging port,Samsung,unknown_age,Bad micro USB port,Charge port issue
Unknown,Apple,unknown_age,Advised on purchasing part,Other damage
Camera,Apple,unknown_age,Crack in the camera,Rear camera damage
Help/configuration,Samsung,unknown_age,it was in Spanish,Other damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
USB/charging port,Samsung,unknown_age,"Micro USB damaged, needed replacing. DIY",Charge port issue
Software update,Apple,unknown_age,Incomplete update. Owner wanted to backup before reset.,Other damage
Screen,Samsung,unknown_age,Broken screen,Display issues
Microphone,Samsung,unknown_age,Mic not working.,Other damage
Power/battery,Apple,unknown_age,Battery replacement,Battery
Sim card slot,Apple,unknown_age,"Sim reader faulty, tried to resolder it.",Other damage
USB/charging port,Apple,unknown_age,"Not charging, battery replaced",Battery
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen replacement - full LCD assembly,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,Screen repair,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Samsung,unknown_age,"cracked glass, screen otherwise ok. helped with sourcing spare part",Display issues
Camera,Apple,unknown_age,camera dirty,Rear camera damage
Screen,Samsung,unknown_age,screen goes black - impossible to replicate the issue,Display issues
Speaker/amplifier,Apple,unknown_age,"speaker doesn't work. changed speaker cable, all sorted",Other damage
Software update,Samsung,unknown_age,it blocks one specific contact. we suggested running a factory reset after backing up the phone,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Power/battery,Samsung,unknown_age,doesn't switch on,Battery issues
On/Off button,Apple,unknown_age,Iphone button on and off not working,Other damage
Screen,Apple,unknown_age,Screen replaced,Screen damage
Other,Apple,unknown_age,Vibrator replaced,Other damage
Screen,Apple,unknown_age,Screen replaced,Screen damage
Screen,Apple,unknown_age,Screen replaced,Screen damage
Screen,Apple,unknown_age,Screen replaced,Screen damage
Unknown,Samsung,unknown_age,Samsung,Other damage
USB/charging port,Apple,unknown_age,Broken charging port,Other damage
On/Off button,Apple,unknown_age,Power button not working,Battery
Screen,Apple,unknown_age,Cracked screen,Screen damage
On/Off button,Samsung,unknown_age,Power button does not work. Repair would require expensive spare part,Battery issues
Storage problem,Apple,unknown_age,Memory/storage problem,Other damage
Screen,Samsung,unknown_age,Smashed screen,Display issues
Power/battery,Samsung,unknown_age,Not getting power,Battery issues
Storage problem,Samsung,unknown_age,Storage problem,Other damage
Screen,Apple,unknown_age,Cracked LCD but appears to need a new battery,Screen damage
Screen,Samsung,unknown_age,Faulty screen?,Display issues
Power/battery,Samsung,unknown_age,The battery had been nicked!,Battery issues
Other,Samsung,unknown_age,Stuck in flight mode,Other damage
Unknown,Samsung,unknown_age,Not working,Other damage
Help/configuration,Apple,unknown_age,Needed help changing parts,Other damage
Unknown,Samsung,unknown_age,"smart phone, keeps turning off, next time",Other damage
On/Off button,Apple,unknown_age,a on/off button not working,Other damage
Software update,Samsung,unknown_age,Needs a TURP recovery install,Other damage
Screen,Apple,unknown_age,Fuzzy screen,Screen damage
Other,Samsung,unknown_age,Flight mode and IMEI number missing - recommend to contact manufacturer,Other damage
Power/battery,Apple,unknown_age,Battery problem?,Battery
Other buttons,Apple,unknown_age,Lock button,Other damage
Screen,Samsung,unknown_age,"Screen broken, spare part deemed to expensive by owner",Display issues
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,Screen replacement,Screen damage
Screen,Apple,unknown_age,"Cracked screen, needs new one fitted. Not enough time, advice given",Screen damage
Screen,Apple,unknown_age,"Cracked screen, needs new one fitted. Not enough time, advice given",Screen damage
Help/configuration,Samsung,unknown_age,On flight mode constantly. Advice given.,Other damage
Power/battery,Apple,unknown_age,"Not charging - needs a new battery, diagnosed",Battery
Screen,Apple,unknown_age,Screen cracked - deemed beyond repair,Screen damage
Screen,Apple,unknown_age,Buttons and screen,Screen damage
Power/battery,Samsung,unknown_age,Not hold a charge - new battery needed,Battery issues
Power/battery,Samsung,unknown_age,Not turning on and not ringing,Battery issues
Unknown,Apple,unknown_age,Does not turn on,Other damage
Unknown,Samsung,unknown_age,Doesn't charge,Other damage
Performance,Samsung,unknown_age,Very slow. Fixed,Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Power/battery,Apple,unknown_age,"Battery replaced, after a poor battery replacement",Battery
Screen,Apple,unknown_age,Glass replaced,Screen damage
Help/configuration,Samsung,unknown_age,Needs advice on connecting phone to PC. Got advice.,Other damage
Software update,Samsung,unknown_age,Update - advice given,Other damage
Screen,Apple,unknown_age,broken screen,Screen damage
Power/battery,Apple,unknown_age,Battery needs replacing - not applicable,Battery
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Power/battery,Apple,unknown_age,Battery,Battery
Power/battery,Apple,unknown_age,Doesn't charge,Battery
Unknown,Apple,unknown_age,Bug,Other damage
Power/battery,Apple,unknown_age,Switches off,Battery
Screen,Samsung,unknown_age,Problem with the touchscreen. There is documented solution to this involving disconnecting the LCD from the circuit board,Display issues
Power/battery,Apple,unknown_age,dead battery,Battery
Microphone,Apple,unknown_age,Bad mic connection,Other damage
Screen,Samsung,unknown_age,Change screen,Display issues
Other buttons,Apple,unknown_age,Button does not work,Other damage
Screen,Samsung,unknown_age,Broken screen,Display issues
Speaker/amplifier,Apple,unknown_age,Sound does not work,Other damage
Power/battery,Apple,unknown_age,Battery swap- screw stuck,Battery
Power/battery,Samsung,unknown_age,Doesn't switch on - dead battery,Battery issues
Unknown,Samsung,unknown_age,0.15kg,Other damage
Unknown,Samsung,unknown_age,0.2kg,Other damage
Storage problem,Samsung,unknown_age,Running slow - advice give,Other damage
Software update,Apple,unknown_age,Running slow,Other damage
Other,Samsung,unknown_age,"No power - further work needed. Recommend to sell for parts, water damage",Battery issues
USB/charging port,Samsung,unknown_age,Screen goes black/blank (intermittent fault). USB cover fixed and advice given,Charge port issue
Power/battery,Samsung,unknown_age,Slow and freezes. May need battery replaced.,Battery issues
Speaker/amplifier,Apple,unknown_age,Sound issues - new speaker needed,Other damage
Screen,Apple,unknown_age,screen replacement,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Power/battery,Apple,unknown_age,Battery,Battery
Unknown,Apple,unknown_age,Not turning on,Other damage
Unknown,Samsung,unknown_age,0.2kg,Other damage
Software issue,Apple,unknown_age,Crashing,Other damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Power/battery,Apple,unknown_age,Battery,Battery
Power/battery,Samsung,unknown_age,Does not power on,Battery issues
Screen,Apple,unknown_age,Screen needs replacing,Screen damage
Power/battery,Apple,unknown_age,Battery needs changing.,Battery
Other buttons,Apple,unknown_age,Home button doesn't work.,Other damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Charger,Apple,unknown_age,iPhone charger,Other damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Power/battery,Apple,unknown_age,Battery,Battery
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,iPhone - broken screen,Screen damage
Power/battery,Apple,unknown_age,iPhone - needed battery change (also needed spare battery),Battery
Unknown,Apple,unknown_age,doesn't work ~ unknown,Other damage
Screen,Apple,unknown_age,"Cracked screen - fixable, but needs spare parts",Screen damage
Other buttons,Apple,unknown_age,Home button broken - cleaned but needs replacing,Other damage
Other,Apple,unknown_age,water damage - advice on recovering photos,Other damage
Screen,Samsung,unknown_age,No display - needs new screen,Display issues
Storage problem,Samsung,unknown_age,Full - how to free space. Advice given,Other damage
Help/configuration,Apple,1,unfamiliar with settings ~ age,Other damage
Software update,Samsung,1,Software challenge,Other damage
Screen,Samsung,2,Screen does not work,Display issues
Other,Apple,unknown_age,Water damage,Other damage
Other buttons,Apple,unknown_age,Button does not work,Other damage
Sim card slot,Samsung,unknown_age,Not recognizing SIM,Other damage
Screen,Samsung,unknown_age,Not working the lower part of the touch screen,Display issues
Power/battery,Samsung,unknown_age,doesn't work ~ battery empty,Battery issues
Help/configuration,Apple,1,difficulty with settings ~ digitally ill,Other damage
Screen,Apple,unknown_age,Screen too dark. Fixed (needs new parts).,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen and home button,Screen damage
Screen,Apple,unknown_age,Cracked screen and blurry camera,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,Cracked screen,Screen damage
Screen,Apple,unknown_age,"Cracked screen, damaged home button",Screen damage
Other,Apple,unknown_age,"Asks for iTunes only. Advice given, hopefully DIY ready",Other damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen & damaged home button,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement (x2 - Needed to be replaced twice - faulty replacement unit?),Screen damage
Other buttons,Apple,unknown_age,Home Button Replacement,Other damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Power/battery,Apple,unknown_age,Battery replacement,Battery
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Broken screen,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement (x2),Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Other buttons,Apple,unknown_age,Home Button Replacement,Other damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
USB/charging port,Apple,unknown_age,Charging Port Replacement,Other damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Screen,Apple,unknown_age,Screen Replacement,Screen damage
Speaker/amplifier,Apple,unknown_age,Does not give a sound,Other damage
Screen,Apple,unknown_age,Change screen,Screen damage
Screen,Samsung,unknown_age,"Screen damage after drop. Tested by connecting to laptop, phone is ok just needs new screen",Display issues
Software update,Samsung,unknown_age,F-Droid installation & Clean Up device,Other damage
Camera,Samsung,unknown_age,Mobile phone with massive zoom camera. Lots of dismantling & testing. Maybe get clone and swap parts?,Rear Camera Issues
Screen,Apple,1,Screen is black ~ No idea,Screen damage
Other,Apple,unknown_age,Inconsistent WiFi,Other damage
Other,Apple,3,Dod had bitten on it,Other damage
Power/battery,Samsung,unknown_age,battery? phone no longer turns on.,Battery issues
Screen,Apple,unknown_age,"Screen temperamental. Half fixed, will continue to work on it at home.",Screen damage
Screen,Samsung,unknown_age,Broken display,Display issues
Other,Apple,unknown_age,changed flat cable,Other damage
Screen,Apple,unknown_age,changed dispay,Screen damage
Screen,Apple,unknown_age,iPhone screen and motherboard. No fix - advice given (too costly to repair),Screen damage
Screen,Apple,unknown_age,iPhone 5c - Screen Repaired,Screen damage
USB/charging port,Apple,unknown_age,iPhone 5 - Replaced Charging Port,Other damage
Speaker/amplifier,Apple,unknown_age,iPhone 5SE - Speaker to be Replaced - No replacement parts available,Other damage
Screen,Apple,unknown_age,iPhone 5 - Screen Replaced,Screen damage
USB/charging port,Apple,unknown_age,iPhone 5c - Charging Port Replaced,Other damage
USB/charging port,Apple,unknown_age,iPhone 6 - Charging Port dirty/blocked - cleaned out,Other damage
Liquid damage,Apple,unknown_age,Two defective devices were turned into one that worked. A white model had water damage and a silver model had a screen damage. The result was an iPhone with a silver casing and a white home button.,Screen damage
USB/charging port,Samsung,unknown_age,Loose charger connector.,Charge port issue
Screen,Samsung,17,glass broken ~ falling,Display issues
Unknown,Apple,unknown_age,The back falls off,Other damage
Other,Apple,unknown_age,Humidity problem,Other damage
Unknown,Apple,unknown_age,Humidity problem,Other damage
Other,Apple,unknown_age,Humidity problem,Other damage
Unknown,Apple,unknown_age,Humidity problem,Other damage
Screen,Samsung,unknown_age,It had a display damage. The repair failed because the old display was removed. Maybe you should try again.,Display issues
Screen,Samsung,unknown_age,"intermittent screen flicker, short battery life",Battery issues
Power/battery,Samsung,unknown_age,Doesn't turn on,Battery issues
On/Off button,Apple,unknown_age,Power botton doesn't work,Battery
Screen,Apple,unknown_age,Broken screen. The owner had the spare part so we placed it.,Screen damage
Software issue,Samsung,unknown_age,Unable to install Airwatch ~ ??,Other damage
On/Off button,Apple,unknown_age,On-off switch stuck. Not fixable.,Other damage
Software update,Apple,unknown_age,OS issue (slow),Other damage
Power/battery,Apple,1,"Bad battery, please order a new battery. ~ Unknown",Battery
Storage problem,Samsung,unknown_age,Unable to create memory space by deleting data.,Other damage
Volume buttons,Apple,unknown_age,Silence button not working. Owner will come to a future event once part ordered.,Other damage
Screen,Apple,unknown_age,"Broken screen, replaced with new LCD",Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,"Cracked screen, under warranty, sent to Apple store",Screen damage
Screen,Apple,unknown_age,"Cracked screen, new LCD",Screen damage
Screen,Apple,unknown_age,"Cracked screen, new LCD",Screen damage
Other buttons,Apple,unknown_age,"Home button not working, vibration not working. Replaced both components",Other damage
Screen,Apple,unknown_age,"Cracked screen, new LCD",Screen damage
Unknown,Apple,unknown_age,Student purchased new phone before repair could be completed,Other damage
Unknown,Samsung,unknown_age,"Parts too expensive, referred to professional",Other damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Screen,Apple,unknown_age,cracked screen,Screen damage
Unknown,Apple,unknown_age,Hardware problem,Other damage
